#Device,HMC8015
#Device Name,Choker
#Format,LOG
#Date,2020-02-20
#Version,01.403-02.430-03.730
#Serial No.,031956603
#Mode,Duration
#Logging Interval[s],0.100
#Specified Logging Count,-----
#Specified Logging Time[s],300.000
#Start Time,11:35:37
#Stop Time,11:36:35
#Actual Count,584         
URMS[V],IRMS[A],P[W],FPLL[Hz],URange[V],IRange[A],S[VA],Q[var],LAMBDA[],UTHD[%],Timestamp
0.0297,0.0275E-03,-0.000E-03,nan,5,5E-03,nan,nan,nan,nan,11:35:37.000
0.0302,0.0276E-03,-0.000E-03,nan,5,5E-03,nan,nan,nan,nan,11:35:37.100
0.0265,0.0271E-03,0.000E-03,nan,5,5E-03,nan,nan,nan,nan,11:35:37.200
0.0239,0.0270E-03,0.000E-03,nan,5,5E-03,nan,nan,nan,nan,11:35:37.300
0.0246,0.0270E-03,0.000E-03,nan,5,5E-03,nan,nan,nan,nan,11:35:37.400
0.0253,0.0270E-03,0.000E-03,nan,5,5E-03,nan,nan,nan,nan,11:35:37.500
0.0251,0.0270E-03,0.000E-03,nan,5,5E-03,nan,nan,nan,nan,11:35:37.600
0.0251,0.0271E-03,0.000E-03,nan,5,5E-03,nan,nan,nan,nan,11:35:37.700
0.0253,0.0270E-03,0.000E-03,nan,5,5E-03,nan,nan,nan,nan,11:35:37.800
0.0253,0.0271E-03,0.000E-03,nan,5,5E-03,nan,nan,nan,nan,11:35:37.900
0.0250,0.0271E-03,0.000E-03,nan,5,5E-03,nan,nan,nan,nan,11:35:38.000
0.0247,0.0270E-03,0.000E-03,nan,5,5E-03,nan,nan,nan,nan,11:35:38.100
0.0240,0.0270E-03,0.000E-03,nan,5,5E-03,nan,nan,nan,nan,11:35:38.200
0.0238,0.0269E-03,0.000E-03,nan,5,5E-03,nan,nan,nan,nan,11:35:38.300
0.0235,0.0269E-03,0.000E-03,nan,5,5E-03,nan,nan,nan,nan,11:35:38.400
0.0237,0.0269E-03,0.000E-03,nan,5,5E-03,nan,nan,nan,nan,11:35:38.500
0.0238,0.0270E-03,0.000E-03,nan,5,5E-03,nan,nan,nan,nan,11:35:38.600
0.0239,0.0269E-03,0.000E-03,nan,5,5E-03,nan,nan,nan,nan,11:35:38.700
0.0241,0.0270E-03,0.000E-03,nan,5,5E-03,nan,nan,nan,nan,11:35:38.800
0.0242,0.0269E-03,0.000E-03,nan,5,5E-03,nan,nan,nan,nan,11:35:38.900
0.0247,0.0270E-03,0.000E-03,nan,5,5E-03,nan,nan,nan,nan,11:35:39.000
0.0250,0.0271E-03,0.000E-03,nan,5,5E-03,nan,nan,nan,nan,11:35:39.100
0.0250,0.0271E-03,0.000E-03,nan,5,5E-03,nan,nan,nan,nan,11:35:39.200
0.0247,0.0270E-03,0.000E-03,nan,5,5E-03,nan,nan,nan,nan,11:35:39.300
0.0242,0.0270E-03,0.000E-03,nan,5,5E-03,nan,nan,nan,nan,11:35:39.400
0.0241,0.0269E-03,0.000E-03,nan,5,5E-03,nan,nan,nan,nan,11:35:39.500
0.0241,0.0269E-03,0.000E-03,nan,5,5E-03,nan,nan,nan,nan,11:35:39.600
0.0239,0.0269E-03,0.000E-03,nan,5,5E-03,nan,nan,nan,nan,11:35:39.700
0.0239,0.0269E-03,0.000E-03,nan,5,5E-03,nan,nan,nan,nan,11:35:39.800
0.0239,0.0268E-03,0.000E-03,nan,5,5E-03,nan,nan,nan,nan,11:35:39.900
0.0239,0.0269E-03,0.000E-03,nan,5,5E-03,nan,nan,nan,nan,11:35:40.000
0.0240,0.0269E-03,0.000E-03,nan,5,5E-03,nan,nan,nan,nan,11:35:40.100
0.0242,0.0269E-03,0.000E-03,nan,5,5E-03,nan,nan,nan,nan,11:35:40.200
0.0242,0.0269E-03,0.000E-03,nan,5,5E-03,nan,nan,nan,nan,11:35:40.300
0.0240,0.0270E-03,0.000E-03,nan,5,5E-03,nan,nan,nan,nan,11:35:40.400
0.0240,0.0269E-03,0.000E-03,nan,5,5E-03,nan,nan,nan,nan,11:35:40.500
0.0239,0.0270E-03,0.000E-03,nan,5,5E-03,nan,nan,nan,nan,11:35:40.600
0.0236,0.0269E-03,0.000E-03,nan,5,5E-03,nan,nan,nan,nan,11:35:40.700
0.0237,0.0270E-03,0.000E-03,nan,5,5E-03,nan,nan,nan,nan,11:35:40.800
0.0235,0.0270E-03,0.000E-03,nan,5,5E-03,nan,nan,nan,nan,11:35:40.900
0.0234,0.0270E-03,0.000E-03,nan,5,5E-03,nan,nan,nan,nan,11:35:41.000
0.0235,0.0270E-03,0.000E-03,nan,5,5E-03,nan,nan,nan,nan,11:35:41.100
0.0236,0.0270E-03,0.000E-03,nan,5,5E-03,nan,nan,nan,nan,11:35:41.200
