#Device,HMC8015
#Device Name,Choker
#Format,LOG
#Date,2020-02-20
#Version,01.403-02.430-03.730
#Serial No.,031956603
#Mode,Duration
#Logging Interval[s],0.100
#Specified Logging Count,-----
#Specified Logging Time[s],300.000
#Start Time,11:33:22
#Stop Time,11:35:35
#Actual Count,1331        
URMS[V],IRMS[A],P[W],FPLL[Hz],URange[V],IRange[A],S[VA],Q[var],LAMBDA[],UTHD[%],Timestamp
0.0238,0.0261E-03,0.000E-03,nan,5,5E-03,nan,nan,nan,nan,11:33:22.000
0.0237,0.0260E-03,0.000E-03,nan,5,5E-03,nan,nan,nan,nan,11:33:22.100
0.0239,0.0260E-03,0.000E-03,nan,5,5E-03,nan,nan,nan,nan,11:33:22.200
0.0239,0.0261E-03,0.000E-03,nan,5,5E-03,nan,nan,nan,nan,11:33:22.300
0.0240,0.0261E-03,0.000E-03,nan,5,5E-03,nan,nan,nan,nan,11:33:22.400
0.0237,0.0260E-03,0.000E-03,nan,5,5E-03,nan,nan,nan,nan,11:33:22.500
0.0237,0.0260E-03,0.000E-03,nan,5,5E-03,nan,nan,nan,nan,11:33:22.600
0.0237,0.0260E-03,0.000E-03,nan,5,5E-03,nan,nan,nan,nan,11:33:22.700
0.0239,0.0261E-03,0.000E-03,nan,5,5E-03,nan,nan,nan,nan,11:33:22.800
0.0241,0.0261E-03,0.000E-03,nan,5,5E-03,nan,nan,nan,nan,11:33:22.900
0.0241,0.0262E-03,0.000E-03,nan,5,5E-03,nan,nan,nan,nan,11:33:23.000
0.0239,0.0261E-03,0.000E-03,nan,5,5E-03,nan,nan,nan,nan,11:33:23.100
0.0238,0.0260E-03,0.000E-03,nan,5,5E-03,nan,nan,nan,nan,11:33:23.200
0.0237,0.0260E-03,0.000E-03,nan,5,5E-03,nan,nan,nan,nan,11:33:23.300
0.0237,0.0261E-03,0.000E-03,nan,5,5E-03,nan,nan,nan,nan,11:33:23.400
0.0238,0.0260E-03,0.000E-03,nan,5,5E-03,nan,nan,nan,nan,11:33:23.500
0.0239,0.0260E-03,0.000E-03,nan,5,5E-03,nan,nan,nan,nan,11:33:23.600
0.0238,0.0260E-03,0.000E-03,nan,5,5E-03,nan,nan,nan,nan,11:33:23.700
0.0241,0.0260E-03,0.000E-03,nan,5,5E-03,nan,nan,nan,nan,11:33:23.800
0.0234,0.0260E-03,0.000E-03,nan,5,5E-03,nan,nan,nan,nan,11:33:23.900
