#Device,HMC8015,,,,,,,,,
#Device Name,Choker,,,,,,,,,
#Format,LOG,,,,,,,,,
#Date,20/02/2020,,,,,,,,,
#Version,01.403-02.430-03.730,,,,,,,,,
#Serial No.,31956603,,,,,,,,,
,,,,,,,,,,
#Mode,Duration,,,,,,,,,
#Logging Interval[s],0.1,,,,,,,,,
#Specified Logging Count,-----,,,,,,,,,
#Specified Logging Time[s],300,,,,,,,,,
,,,,,,,,,,
#Start Time,11:30:27,,,,,,,,,
#Stop Time,11:31:06,,,,,,,,,
,,,,,,,,,,
#Actual Count,395,,,,,,,,,
,,,,,,,,,,
URMS[V],IRMS[A],P[W],FPLL[Hz],URange[V],IRange[A],S[VA],Q[var],LAMBDA[],UTHD[%],Timestamp
0.019,2.42E-05,0.00E+00,nan,5,5.00E-03,nan,nan,nan,nan,30:27.0
0.0186,2.41E-05,0.00E+00,nan,5,5.00E-03,nan,nan,nan,nan,30:27.1
0.0185,2.42E-05,0.00E+00,nan,5,5.00E-03,nan,nan,nan,nan,30:27.2
0.0188,2.41E-05,0.00E+00,nan,5,5.00E-03,nan,nan,nan,nan,30:27.3
0.0194,2.42E-05,0.00E+00,nan,5,5.00E-03,nan,nan,nan,nan,30:27.4
0.0202,2.43E-05,0.00E+00,nan,5,5.00E-03,nan,nan,nan,nan,30:27.5
0.0204,2.43E-05,0.00E+00,nan,5,5.00E-03,nan,nan,nan,nan,30:27.6
0.02,2.42E-05,0.00E+00,nan,5,5.00E-03,nan,nan,nan,nan,30:27.7
0.0195,2.42E-05,0.00E+00,nan,5,5.00E-03,nan,nan,nan,nan,30:27.8
0.019,2.41E-05,0.00E+00,nan,5,5.00E-03,nan,nan,nan,nan,30:27.9
0.019,2.42E-05,0.00E+00,nan,5,5.00E-03,nan,nan,nan,nan,30:28.0
0.0189,2.42E-05,0.00E+00,nan,5,5.00E-03,nan,nan,nan,nan,30:28.1
0.0187,2.42E-05,0.00E+00,nan,5,5.00E-03,nan,nan,nan,nan,30:28.2
0.0187,2.42E-05,0.00E+00,nan,5,5.00E-03,nan,nan,nan,nan,30:28.3
0.0187,2.42E-05,0.00E+00,nan,5,5.00E-03,nan,nan,nan,nan,30:28.4
0.0191,2.42E-05,0.00E+00,nan,5,5.00E-03,nan,nan,nan,nan,30:28.5
0.0194,2.43E-05,0.00E+00,nan,5,5.00E-03,nan,nan,nan,nan,30:28.6
0.0196,2.42E-05,0.00E+00,nan,5,5.00E-03,nan,nan,nan,nan,30:28.7
0.0196,2.42E-05,0.00E+00,nan,5,5.00E-03,nan,nan,nan,nan,30:28.8
